name,食材简介,食用功效,适用人群,禁忌人群,营养价值,类别,图片,label,id
大蒜,大蒜 （Garlic）又叫蒜头、大蒜头、胡蒜、葫、独蒜、独头蒜，是蒜类植物的统称。半年生草本植物，百合科葱属，以鳞茎入药。春、夏采收，扎把，悬挂通风处，阴干备用。农谚说“种蒜不出九（月），出九长独头”，6月叶枯时采挖，除去泥沙，通风晾干或烘烤至外皮干燥。,"1、强力杀菌：大蒜中含硫化合物具有奇强的抗菌消炎作用。
2、防治肿瘤和癌症：大蒜中的锗和硒等元素可抑制肿瘤细胞和癌细胞的生长。
3、排毒清肠：大蒜可有效抑制和杀死引起肠胃疾病的幽门螺杆菌等细菌病毒，清除肠胃有毒物质，刺激胃肠粘膜，促进食欲，加速消化。
4、降低血糖：大蒜可促进胰岛素的分泌，增加组织细胞对葡萄糖的吸收，提高人体葡萄糖耐量。
5、防治心脑血管疾病：大蒜可防止心脑血管中的脂肪沉积，诱导组织内部脂肪代谢。
6、保护肝功能：大蒜中的微量元素硒，通过参与血液的有氧代谢，清除毒素，减轻肝脏的解毒负担，从而达到保护肝脏的目的。
7、旺盛精力：大蒜可有效补充肾脏所需物质，改善因肾气不足而引发的浑身无力症状，并可促进精子的生成，使精子数量大增。
8、预防感冒：可预防感冒，减轻发烧、咳嗽、喉痛及鼻塞等感冒症状。",一般人群均可食用。,眼病患者，肝炎患者，非细菌性腹泻患者，正处于服药期间的病人慎服。,"1.大蒜含有丰富的碳水化合物，较少的蛋白质，几乎不含脂肪。
2.大蒜中含有较为全面的微量元素，尤其钾和磷的含量较高。
3.大蒜中含有一种叫“硫化丙烯”的辣素。
4.大蒜中含有丰富的硒元素。",调味品,https://i3.meishichina.com/attachment/201512/9/14496323759917.png,material,1
生姜,生姜是姜科多年生草本植物姜（Zingiber officinale Roscoe）的新鲜根茎，高40～100cm。别名有姜根、百辣云、勾装指、因地辛、炎凉小子、鲜生姜、蜜炙姜。姜的根茎（干姜）、栓皮（姜皮）、叶（姜叶）均可入药。生姜在中医药学里具有发散、止呕、止咳等功效。,"1、增进食欲、促消化：口嚼生姜，可引起血压升高。姜辣素对口腔和胃粘膜有刺激作用，能促进消化液分泌，增进食欲。可使肠张力、节律和蠕动增加。
2、镇吐：有末梢性镇吐作用，有效成分为姜酮和姜烯酮的混合物。治疗胃寒呕吐。也可治胃热呕吐。
3、活血驱寒：用生姜、红糖熬制的姜汤可活血驱寒，防治感冒，自古就是风寒感冒的食疗良药。
4、杀菌：体外实验表明，姜对伤寒杆菌、霍乱弧菌有明显的抑制作用。
5、助阳：按中医理论，生姜是助阳之品。
6、解毒：生姜又能解生半夏、生南星之毒，煎汤饮服，可用于中半夏、南星毒引起的喉哑舌肿麻木等症",姜适宜伤风感冒引起的头痛、全身酸痛、咳嗽、吐白色黏痰以及胃寒疼痛、寒性呕吐、腹痛吐泻。,阴虚内热、内火偏盛之人忌食；患有目疾、痈疮、痔疮、肝炎、糖尿病及干燥综合症者不宜食用；孕妇忌食。,"1、姜含有蛋白质、多种维生素、胡萝卜素、钙、铁、磷。
2、姜中含有姜醇、姜烯、水芹烯、柠檬醛和芳香等油性的挥发油;还有姜辣素、树脂、淀粉和纤维等。",调味品,https://i3.meishichina.com/attachment/201511/11/14472225896854.jpg,material,2
葱,葱（学名：Allium fistulosum L.），为百合科葱属多年生草本植物。鳞茎单生，圆柱状，稀为基部膨大的卵状圆柱形；鳞茎外皮白色，稀淡红褐色，膜质至薄革质，不破裂。叶圆筒状，中空；花葶圆柱状，中空，中部以下膨大，向顶端渐狭；总苞膜质，伞形花序球状，多花，较疏散；花被片长6-8.5毫米，近卵形；花丝为花被片长度的1.5-2倍，锥形；子房倒卵状，腹缝线基部具不明显的蜜穴；花柱细长，伸出花被外。花果期4-7月。,"1、促进食欲：葱有助于食欲的增进。同时与维生素B1含量较多的食物一起摄取时，维生素B1所含的淀粉及糖质会变为热量，而提高恢复疲劳的作用。
2、预防老年痴呆：有舒张小血管，促进血液循环的作用，有助于防止血压升高所致的头晕，使大脑保持灵活和预防老年痴呆的作用。
3、强身健体：经常吃葱的人，即便脂多体胖，但胆固醇并不增高，而且体质强壮。
4、防癌抗癌：可降低胃液内的亚硝酸盐含量，对预防胃癌及多种癌症有一定作用。
5、治疗感冒：其中的发性辣素还通过汗腺、呼吸道、泌尿系统排出时能轻微刺激刺激相关腺体的分泌，而起到发汗、祛痰、利尿作用。是治疗感冒的中药之一。
6、降三高：葱还有降血脂、降血压、降血糖的作用。
7、吃葱可以长寿：中国自古就有吃葱可以长寿的说法。",脑力劳动者更宜。,患有胃肠道疾病特别是溃疡病的人不宜多食；另外葱对汗腺刺激作用较强，有腋臭的人在夏季应慎食；表虚、多汗者也应忌食；过多食用葱还会损伤视力。,"1. 生葱像洋葱、大葱一样，含烯丙基硫醚。
2.葱叶部分要比葱白部分含有更多的维生素A、维C及钙。
3.葱含有具有刺激性气味的挥发油和辣素，能祛除腥腥膻等油腻厚味菜肴中的异味，产生特殊香气，并有较强的杀菌作用。",调味品,,material,3
食用油,食用油也称为“食油”，是指在制作食品过程中使用的，动物或者植物油脂。常温下为液态。 由于原料来源、加工工艺以及品质等原因，常见的食用油多为植物油脂，包括粟米油、花生油、火麻油、玉米油、橄榄油、山茶油、棕榈油、芥花子油、葵花子油、大豆油、芝麻油、亚麻籽油（胡麻油）、葡萄籽油、核桃油、牡丹籽油等等。,"1、油的传热作用，使菜肴呈现出鲜嫩或酥脆的特点。
2、改善菜肴的色泽，油脂可以使菜肴呈现出各种不同的色泽。
3、增加营养成分，在烹调过程中，由于脂肪渗透至原料的组织内部，不仅改善了菜肴的风味，并且补充了某些低脂肪菜肴的营养成分，从而提高了菜肴的热量，即营养价值。",一般人群均可食用。,血脂、体重正常的人总用油量应控制在每天不超过25克，老年人、血脂异常的人群、肥胖的人群、肥胖相关疾病的人群或者有肥胖家史的人群，甚至要降到20克。,食用油是人们生活的必需品，是提供人体热能和必需脂肪酸、促进脂溶性维生素吸收的重要食物。衡量油脂的营养价值有两个指数，一是不饱和脂肪酸的含量；二是必需脂肪酸的含量。植物油所含这两种脂肪酸，一般要比动物油高。对于中老年人以及心血管病患者来说，要少吃动物油，以植物油为主，有利于身体健康。对于正在生长发育的青少年来说，则不必过分限制动物油。一般情况下，食用动、植物油以3∶7的用量标准较为适宜。,调味品,,material,4
盐,盐是指一类金属离子或铵根离子（NH4+）与酸根离子或非金属离子结合的化合物。如氯化钠，硝酸钙，硫酸亚铁和乙酸铵等，如硫酸钙，氯化铜，醋酸钠，一般来说盐是复分解反应的生成物，盐与盐反应生成新盐与新盐，盐与碱反应生成新盐与新碱，盐与酸反应生成新盐与新酸，如硫酸与氢氧化钠生成硫酸钠和水，氯化钠与硝酸银反应生成氯化银与硝酸钠等。也有其他的反应可生成盐，例如置换反应。可溶性盐的溶液有导电性，是因为溶液中有可自由游动的离子，故此可作为电解质。盐酸既是盐化工的重要产品，又是生产硅材料的重要原料。它是晶体的一种。,"1、杀菌：盐水有杀菌、保鲜防腐作用。用来清洗创伤可以防止感染，撒在食物上可以短期保鲜，用来腌制食物还能防变质。
2、调味道：食盐调味，能多项式发腻提鲜，祛除腥膻之味，使食物保持原料的本味。
3、促进皮肤的新陈代谢：用盐调水能清除皮肤表面的角质和污垢，使皮肤呈现出一种鲜嫩、透明的靓丽之感可以促进全身皮肤的新陈代谢，防治某些皮肤病，起到较好的自我保健作用。",适宜急性胃肠炎者、呕吐腹泻者，炎夏中暑多汗烦渴者、咽喉肿痛、口腔发炎、齿龈出血者以及胃酸缺乏引起消化不良、大便干结和习惯性便秘者食用。,咳嗽消渴、水肿病人不宜食用。,食盐主要成分为氯化钠氯化钠的性质：白色晶体，易溶于水。溶解度随温度变化不大。味咸可食用（实验中有掺加碘酸钾）。颜色反应为黄色（钠离子的物理性质）。他的水溶液能与硝酸银溶液反应生成白色不容于稀硝酸的沉淀，（氯离子的化学性质）常温下大多为固体，在水中溶解性不同,调味品,,material,5
料酒,料酒就是专门用于烹饪调味的酒。在我国的应用已有上千年的历史，日本、美国、欧洲的某些国家也有使用料酒的习惯。从理论上来说，啤酒、白酒、黄酒、葡萄酒、威士忌都可用作料酒。但人们经过长期的实践、品尝后发现，不同的料酒所烹饪出来的菜肴风味相距甚远。经过反复试验，人们发现以黄酒烹饪为最佳。 酒为人们所喜欢的饮料，品种极多，作调味品的主要是黄酒。福建、山东、浙江等地都有生产，以浙江沼兴所产质量较好。黄酒是用糯米或小米酿造而成的，其成分主要有酒精、糖分、糊精、有机酸类、氨基酸、酯类、醛类、杂醇油及浸出物等。其酒精浓度低，含量在15%以下，而酯类含量高，富含氨基酸，所以香味浓郁，味道醇厚，在烹制菜肴中使用广泛。黄酒的调味作用主要为去腥、增香。,"1、活血通络：可帮助血液循环，促进新陈代谢，具有补血养颜，活血祛寒，通经活络，能有效抵御寒冷刺激，预防感冒。
2、增加口感：在烹饪肉、禽、蛋等菜肴时，调入料酒能渗透到食物组织内部，溶解微量的有机物质，从而使菜肴质地松嫩。",一般人群均可食用。,无禁忌人群。,料酒富含人体需要地8种氨基酸，如亮氨酸、异亮氨酸、蛋氨酸、苯丙氨酸、苏氨酸，它们在被加热时，可以产生多种果香花香和烤面包的味道。其中，赖氨酸、色氨酸可以产生大脑神经传递物质，改善睡眠，有助于人体脂肪酸的合成，对儿童的身体发育也有好处。其实，料酒的营养成分是来源于黄酒，再加入花椒、大料、桂皮、丁香、砂仁、姜等多种香料酿制而成。,调味品,,material,6
酱油,酱油，用豆、麦、麸皮酿造的液体调味品。色泽红褐色，有独特酱香，滋味鲜美，有助于促进食欲。是中国的传统调味品。酱油俗称豉油，主要由大豆、淀粉、小麦、食盐经过制油、发酵等程序酿制而成的。酱油的成分比较复杂，除食盐的成分外，还有多种氨基酸、糖类、有机酸、色素及香料等成分。以咸味为主，亦有鲜味、香味等。它能增加和改善菜肴的味道，还能增添或改变菜肴的色泽。我国人民在数千年前就已经掌握酿制工艺了。酱油一般有老抽和生抽两种：生抽较咸，用于提鲜；老抽较淡，用于提色。,"1、增进食欲：烹调食品时加入一定量的酱油，可增加食物的香味，并可使其色泽更加好看，从而增进食欲。
2、防癌：酱油的主要原料是大豆，大豆及其制品因富含硒等矿物质而有防癌的效果。
3、降低胆固醇：酱油含有多种维生素和矿物质，可降低人体胆固醇，降低心血管疾病的发病率，并能减少自由基对人体的损害。
4、止痒消肿：酱油可用于水、火烫伤和蜂、蚊等虫的蜇伤，并能止痒消肿。",一般人群均可食用。,心血管疾病患者忌食。,酱油中的氨基酸是人体所需的主要营养物质，尤其是酱油中含有一些人体不能合成的氨基酸，总量多达17种，还含有B族维生素和安全无毒的棕红色素。 酱油主要由大豆，淀粉、小麦、食盐经过制油、发酵等程序酿制而成的。酱油的成分比较复杂，除食盐的成分外，还有多种氨基酸、糖类、有机酸、色素及香料民分。以咸味为主，亦有鲜味、香味等。它能增加和改善菜肴的口味，还能增添或改变菜肴的色泽。,调味品,https://i3.meishichina.com/attachment/201511/5/1446708556321.jpg,material,7
烧烤料,,,,,,,,material,8
胡椒粉,胡椒为热带植物胡椒树的果实，主要产在印度、越南、印尼、泰国、新加坡等国，我国广东省海南岛也有生产。胡椒味辛辣芳香，性热，除可去腥增香外，还有除寒气、消积食的效用，但多食则刺激胃粘膜而引起充血。,"1、有温中下气，消痰解毒的功效。
2、主治寒痰食积、脘腹冷痛、反胃、呕吐清水、泄泻、冷痢；外敷治疮肿、毒蛇咬伤、犬咬伤；又可解食物毒。
3、温中散寒：用于胃寒所致的胃脘痛、呕吐、以及腹冷所致的泄泻、肠鸣。
4、醒脾开胃：本品小剂量能增进食欲，对胃口差、消化不良有治疗作用。",一般人群均可食用。,容易上火之人、胃溃疡患者不宜食用。,"1. 胡椒的主要成分是胡椒碱，也含有一定量的芳香油、粗蛋白、粗脂肪及可溶性氮，能祛腥、解油腻，助消化；
2. 胡椒的气味能增进食欲；
3. 胡椒性温热，对胃寒所致的胃腹冷痛、肠鸣腹泻有很好的缓解作用，并治疗风寒感冒；
4. 胡椒有防腐抑菌的作用，可解鱼虾肉毒；
5. 黑胡椒的辣味比白胡椒强烈，香中带辣，祛腥提味，更多的用于烹制内脏、海鲜类菜肴；
6. 白胡椒的药用价值较大，可散寒、健胃等，可以增进食欲、助消化，促发汗；还可以改善女性白带异常及癫痫症。",调味品,https://i3.meishichina.com/attachment/201512/21/14506861674975.jpg,material,9
土豆,马铃薯（学名：Solanum tuberosum L.），属茄科一年生草本植物，块茎可供食用，是全球第四大重要的粮食作物，仅次于小麦、稻谷和玉米。马铃薯又称地蛋、土豆 、洋山芋等，茄科植物的块茎。与小麦、稻谷、玉米、高粱并成为世界五大作物。马铃薯原产于南美洲安第斯山区，人工栽培历史最早可追溯到大约公元前8000年到5000年的秘鲁南部地区。马铃薯主要生产国有中国、俄罗斯、印度、乌克兰、美国等。中国是世界马铃薯总产最多的国家。2015年，中国将启动马铃薯主粮化战略，推进把马铃薯加工成馒头、面条、米粉等主食，马铃薯将成稻米、小麦 、玉米外的又一主粮。,"1、补充营养、可作主食：土豆含有丰富的维生素及钙、钾等微量元素，且易于消化吸收，营养丰富。
2、和中养胃、健脾利湿：土豆含有大量淀粉以及蛋白质、B族维生素、维生素C等，能促进脾胃的消化功能。
3、宽肠通便：土豆含有大量膳食纤维，能宽肠通便，帮助机体及时排泄代谢毒素，防止便秘。
4、降糖降脂、美容养颜：预防心血管和系统的脂肪沉积，保持血管的弹性，有利于预防动脉粥样硬化的发生。土豆同时又是一种碱性蔬菜，有利于体内酸碱平衡，中一定的美容、抗衰老作用。
5、利水消肿：土豆所含的钾能取代体内的钠，同时能将钠排出体外，有利于高血压和肾炎水肿患者的康复。
6、减肥：每148克土豆产生的热量仅为100卡路里，能有效控制人们日常饮食中脂肪总量的摄入。
7、美容护肤：土豆有很好的呵护肌肤、保养容颜的功效。",一般人均可食用。尤适宜低蛋白饮食的肾病患者、糖尿病患者食用。,无禁忌人群。,"土豆具有很高的营养价值和药用价值，其营养素丰富，含有蛋白质、矿物质(磷、钙等)、维生素等多种成分，营养结构也较合理，有“地下苹果”之称。
它所含的蛋白质和维生素C、维生素B1、维生素B2比苹果高得多：
1、维生素C是苹果的10倍。
2、B族维生素是苹果的4倍。
3、钙、磷、镁、钾含量是苹果的几倍至几十倍不等，尤其是钾的含量，可以说在蔬菜类里排第一位。
4、富含大量碳水化合物，能供给人体大量的热能。
5、土豆的皮富含绿原酸和硫辛酸。绿原酸有抗氧化和抗癌的功效，硫辛酸可淡斑、防止皮肤老化。
6、含有能够帮助预防老年疾病的膳食抗氧化剂以及有大量的优质纤维素，有预防便秘和防治癌症等作用。",蔬菜,,material,10
