name,耗时,做法,口味,工艺,类型,label,id,难度,图片
烤羊排肉,一小时,1:羊排肉清洗干净后，用清水泡一个小时 。2:锅中放水，倒入羊肉， 放入姜、 料酒焯水。 。3:捞起后用温水洗去表面的浮沫，沥干水分 。4:起锅热油，炒香姜块 。5:羊肉倒入锅中翻炒 。6:炒至水分收干， 表面微黄 。7:转入高压锅 ，放入盐和胡椒粉 。8:倒入热开水 ，盖盖开大火，上气后煮10分钟，再转小火炖煮十分钟即可 。 。9:时间到，已经软绵脱骨了 。10:夹出一部分羊排肉。11:倒入酱油  。12:撒入烧烤料 ，翻拌均匀放置一会儿， 可以更好的入味。13:空气炸锅内放入姜葱蒜垫底。14:把羊排肉放入空气炸锅内 ，180度 烤十分钟 。15:时间到 ，成色还不错 。16:翻个面 ，180度再继续烤十分钟即可 。17:成品。外香里嫩，真的不要太香了 😍。,孜然,烤,热菜,recipe,1,普通,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216393152538396007796837.jpg?x-oss-process=style/p800
彩蔬火腿丁,十分钟,1:备好食材。2:把豌豆和玉米粒放水中浸泡5分钟，洗净后控干水分备用。3:土豆和胡萝卜，刨去外皮并冲洗干净。4:将胡萝卜切成小丁，大小与豌豆玉米粒差不多。5:将土豆也切成小丁。6:用水冲洗2遍，把土豆中淀粉洗去，炒出来口感更脆。7:火腿肠撕掉外皮后，也切成小丁。8:炒锅烧热，倒入食用油，下葱花爆香，再放入火腿丁。9:把火腿丁炒出香味，蓬松且微微起焦，即可盛出备用。10:锅中留底油，放入豌豆、土豆丁和玉米粒，煸炒。11:接着滴少许清水炒一炒，炒至土豆变色，加入适量的食盐炒匀。12:这时把刚炒好的火腿丁，重新入锅。13:大火翻炒均匀，就可以了。14:盛入盘中，撒上葱花点缀提香。15:原汁原味，清淡爽口且又不失营养。,原味,炒,热菜,recipe,2,简单,https://i8.meishichina.com/attachment/recipe/2021/05/19/2021051916214020504809989179877.jpg?x-oss-process=style/p800
水煮海螺 丁螺,十分钟,1:起锅烧水适量，烧开后放几片姜片，。2:在放好剪了尾巴的海螺，记得洗干净下锅煮2分钟，不加盐，拿一个吸一下可以吸出来就可以捞出了。3:捞出放盘里。,咸鲜,煮,家常菜,recipe,3,简单,https://i8.meishichina.com/attachment/recipe/2021/12/10/20211210163912587310892611488988.JPG?x-oss-process=style/p800
猪肉包子,数小时,1:先准备食材，肉剁碎。2:粉条剁碎。3:姜切末。4:葱切末。5:把肉粉条葱姜放在一个大点的容器里边。6:盐，花椒粉，蚝油，生抽，老抽，十三香全部搞里头。7:搅拌均匀腌制一会。8:把面揉成面团，学不会三光，爱怎么地怎么地吧。9:面粉发好揉。10:分剂子。11:包包子。12:蒸。  我100度蒸了25分钟。13:蒸好了。14:做好了。15:吃饭。,咸鲜,蒸,主食,recipe,4,普通,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163930826034940010882460.JPG?x-oss-process=style/p800
“快手小炒”茼蒿炒肥猪卷,十分钟,1:锅烧水。2:取猪肉卷。3:水开放猪肉卷焯水。4:烫变色即可，温水洗净浮沫备用。5:茼蒿洗净，切段，茎叶分开。6:切蒜末。7:热锅冷油。8:油热放菜梗和食盐。9:翻炒2分钟。10:放菜叶和蒜末，炒均匀。11:放猪肉卷。12:炒均匀即可。13:成品。,蒜香,炒,,recipe,5,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216393056976362641806550.jpg?x-oss-process=style/p800
烧烤味花卷（一次发酵）,一小时,1:酵母用温水化开，与面粉混合，揉成光滑的面团。2:不用发酵，直接将面团擀成大长片，刷一层植物油，撒上烧烤料、盐，抹匀。3:卷起，切成小段儿。4:将两段摞在一起，中间用筷子压到底。5:将左右两边往下对折收拢。6:放入方形烤盘（或直接放入蒸屉），发酵至二倍大。7:大火将水烧开，中火蒸35分钟（花卷个大，蒸制时间长些），关火，焖3-5分钟后再揭开锅盖。8:立体美观，层次分明。9:蓬松暄软，营养美味。10:风味别致，养眼养胃。,咸鲜,蒸,主食,recipe,6,普通,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216393010908001808843388.jpg?x-oss-process=style/p800
荸荠丑耳羹,一小时,1:将买下的荸荠（马蹄）洗净、去皮，也可以在网上买已去皮的。看个人情况，不喜欢太大的，可以将其切成小块。2:切成小块，方便熬煮。3:丑耳泡发，切去根部，用手撕成小朵，便于出胶。银耳的出胶是从断口出的，所以尽量撕的碎一点。4:将梨🍐切成小块，这里是先将🍐去皮，保留皮，一会放进锅里，增加汤的梨味。5:将处理好的丑耳、荸荠放进锅里煮，随后再加入梨，快出锅前放入枸杞，加入适量的黄糖进行调味儿。,清淡,炖,,recipe,7,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163930141576677710948037.jpg?x-oss-process=style/p800
绿豆酥,一小时,1:油皮部分材料全部倒入，搅拌均匀，揉至表面光滑。2:盖上保鲜膜松弛20分钟。3:油酥部分混合均匀，揉成光滑的面团。4:同样盖上保鲜膜松弛20分钟。5:准备绿豆沙，分成均匀的等分，揉成团备用。6:松弛好的油皮，油酥同样均匀分成16份。7:取一个油皮压扁，放入油酥，四周捏好，像包汤圆手法一样。8:揉圆之后用擀面杖擀成椭圆形。9:然后从上往下卷起来。10:盖上保鲜膜继续松弛20分钟。11:同样的手法，把面团再竖着用擀面杖擀成椭圆形，从上往下卷起来。12:对折压平，用擀面杖擀平。13:中间放入一个绿豆沙馅，包好口子收紧滚圆，底向下。14:烤盘刷一层油，压扁印上自己喜欢的图案，放入预热好的烤箱中层上下火180℃烤25分钟左右。15:配上一杯茶，可以开吃了。,甜味,烤,糕点,recipe,8,简单,https://i8.meishichina.com/attachment/recipe/2021/12/11/20211211163916219593884710157115.jpg?x-oss-process=style/p800
南瓜鸡腿焖饭,半小时,1:准备食材：鸡腿去骨，用盐、料酒、生粉和香油抓匀腌制10分钟。南瓜切片、洋葱切块、香菇洗净切块。2:锅内倒适量油，将洋葱爆香。3:再倒入腌制过的鸡腿肉翻炒变色。4:随后倒入南瓜和香菇，加生抽和盐翻炒3分钟左右。5:再将炒过菜倒入电饭班，煮米的水要比平时少些哦！按煮饭键即可！。6:煮饭键跳了，南瓜鸡腿焖饭也好了，赶紧乘一碗吃！。,咸鲜,焖,主食,recipe,9,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216392975095714638692740.JPG?x-oss-process=style/p800
杏鲍菇炒虾仁,十分钟,1:先准备一下食材。2:海虾去壳去头去尾，挑去虾线，加入料酒，胡椒粉，生姜粉拌匀腌制20分钟左右。3:杏鲍菇洗净后，切成三段，再切三片，撕成粗条。4:锅里放开水，倒入杏鲍菇条焯水30秒后捞出。5:葱切段，红辣椒切圈。6:锅里放油烧热，加入蒜姜爆香。7:倒入虾仁炒至变色即可盛碗待用。8:洗锅，放油烧热，加入杏鲍菇炒出水分。9:加入红辣椒圈。10:倒入少许蚝油。11:1小勺盐炒匀，加入适量开水烧一下。12:倒入虾仁炒匀。13:加入葱段略炒一下。14:起锅前加入少许六月鲜轻盐昆布酱油炒匀。15:盛盘享用了。16:成品图。,咸鲜,炒,热菜,recipe,10,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163929539198164612848515.jpg?x-oss-process=style/p800
青花椒火腿肠土豆饼,简单,1:用料：土豆2个（约500克），青花椒盐适量，盐少许，火腿肠80克，蛋液适量，面包糠适量，油适量。2:土豆洗净蒸熟。3:趁热去皮捣泥。4:加入盐和青花椒盐，充分抓匀。5:加入切碎的火腿肠丁。6:抓拌均匀。7:分成10等分，拍成饼状。8:放入蛋液中，裹上一层蛋液。9:再放入面包糠中，裹一层面包糠。10:电饼铛预热，倒浅浅一层油，放入裹好面包糠的土豆饼。11:盖上盖子，上下盘加热数分钟。12:揭盖，底部煎出金黄，翻面，将另一面也煎成金黄。13:两面金黄，出锅。,麻香,一小时,,recipe,11,,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163927176410488634360.jpg?x-oss-process=style/p800
蜂蜜柚子茶,半小时,1:将柚子洗干净表皮剥开。2:取出柚子肉。3:将柚子皮切掉里面白色的瓤不要。4:切成细丝。5:3、取一小锅加入一小勺盐和适量水烧开。6:水开后下柚子皮煮一两分钟，灼掉涩味。7:取出用凉水冲洗拧干备用。8:上砂锅加入清水和黄冰糖煮开。9:加入柚子肉和刚才准备好的柚子皮盖紧煮开，转中小火，煮30分钟后左右鼓起大泡泡。10:煮至如图中出胶原粘稠状即可关火。11:最后等凉却至微温，加入蜂蜜拌均。12:这样柚子茶就做好了。13:装入干净消过毒的玻璃瓶子密封保存。14:成品～晶莹剔透的。服用时用开水冲调，早晚来一杯即美容又保健。,甜味,煮,饮品,recipe,12,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/2021121216392686142216476591561.JPG?x-oss-process=style/p800
丝瓜炒肉片,廿分钟,1:猪肉切片装入碗中，倒入一勺料酒。2:一勺生抽。3:一勺淀粉和盐。4:适量胡椒粉。5:一勺食用油。6:抓拌均匀。7:丝瓜去皮切滚刀块。8:装入盘中待用。9:大蒜去衣切沫。10:热锅下油，放入肉片。11:熟透后盛出待用。12:另热锅下油，放入蒜末爆香。13:倒入丝瓜翻炒。14:加入盐调味。15:倒入炒好的肉片，翻炒均匀即可出锅。16:一道丝瓜炒肉片就做好了～。,咸鲜,炒,热菜,recipe,13,简单,https://i8.meishichina.com/attachment/recipe/2021/12/12/20211212163927063722344212864764.jpg?x-oss-process=style/p800
韭菜盒子,一小时,1:韭菜洗净。2:切碎，放适量盐，搅拌，放置20分钟。3:粉丝泡温水。4:挤干韭菜水，切碎粉丝。5:放融化的猪油，香油，适量盐，搅拌匀。6:面粉一半放开水，用筷子搅成絮状，另一半放冷水，搅絮状。7:揉成比较软的面团，盖好盖子，醒10分钟。8:案板抹油，取适量面团，擀成大圆片。9:放入韭菜粉丝馅，包成包子样。10:按扁，用牙签插几个孔，再次按扁。11:反面比较光滑。12:电饼铛小火烘熟，锅里不需放油。13:烘成两面面团有淡淡黄色。14:盛盘即可。,其他,其他,主食,recipe,14,简单,https://i8.meishichina.com/attachment/recipe/2021/04/19/202104191618816054191207230225.jpg?x-oss-process=style/p800
