source,target,用量,relation
1,1,适量,辅料
1,2,适量,辅料
1,3,一个,辅料
1,4,适量,辅料
1,5,适量,辅料
1,6,适量,辅料
1,7,适量,辅料
1,8,一包,辅料
1,9,适量,辅料
2,10,半个,主食材
2,11,30克,主食材
2,12,30克,主食材
2,13,半根,主食材
2,14,1根,主食材
2,4,1勺,辅料
2,15,2根,辅料
2,5,半小勺,辅料
3,16,1斤,主食材
3,2,适量,辅料
3,5,根据自己口味调节,辅料
3,17,适量,辅料
3,1,适量,辅料
4,18,适量,主食材
4,19,适量,主食材
4,3,适量,辅料
4,2,适量,辅料
4,20,适量,辅料
4,5,适量,辅料
4,21,适量,辅料
4,22,适量,辅料
4,23,适量,辅料
4,24,适量,辅料
5,25,150g,主食材
5,4,半匙,辅料
5,1,几瓣,辅料
5,5,1g,辅料
6,26,1000克,主食材
6,27,10克,主食材
6,28,500克,主食材
6,8,6小勺,辅料
6,5,1小勺,辅料
6,29,适量,辅料
7,30,200g,主食材
7,31,一个,主食材
7,32,10颗,辅料
7,33,适量,辅料
8,26,300g,主食材
8,34,120g,主食材
8,35,60g,主食材
8,36,110g,主食材
8,37,120g,辅料
8,34,60g,辅料
8,38,500g,辅料
9,39,适量,主食材
9,40,2个,主食材
9,41,适量,辅料
9,42,适量,辅料
9,43,适量,辅料
9,5,适量,辅料
9,22,适量,辅料
9,6,适量,辅料
9,44,适量,辅料
10,45,2个,主食材
10,46,10几只,主食材
10,1,3瓣,辅料
10,2,3片,辅料
10,47,3个,辅料
10,6,少许,辅料
10,9,少许,辅料
10,48,少许,辅料
11,10,2个,主食材
12,49,1个,主食材
12,50,300克,主食材
12,51,400克,主食材
12,52,1500毫升,辅料
12,5,1小勺,辅料
13,53,400g,主食材
13,18,150g,主食材
13,1,一头,辅料
13,6,一勺,辅料
13,22,一勺,辅料
13,54,一勺,辅料
13,5,适量,辅料
13,9,适量,辅料
13,4,适量,辅料
14,26,适量,主食材
14,55,适量,主食材
14,56,适量,主食材
14,34,适量,辅料
14,57,适量,辅料
14,5,适量,辅料
15,58,一把,主食材
15,59,一个,主食材
15,18,半斤,主食材
15,1,少许,辅料
15,60,少许,辅料
15,2,少许,辅料
15,61,适量,辅料
15,5,适量,辅料
15,6,少许,辅料
15,23,少许,辅料
15,62,少许,辅料
16,18,250g,主食材
16,63,300g,主食材
16,13,100g,主食材
16,1,一头,辅料
16,3,适量,辅料
16,64,两勺,辅料
16,22,一勺,辅料
16,6,一勺,辅料
16,54,一勺,辅料
16,5,适量,辅料
16,4,适量,辅料
17,65,20g,辅料
17,66,1匙,辅料
17,5,2-3克,辅料
17,67,1勺,辅料
17,68,2克,辅料
17,7,2勺,辅料
17,21,1勺,辅料
18,69,适量,主食材
18,55,适量,主食材
18,70,适量,辅料
18,22,适量,辅料
18,71,适量,辅料
18,3,适量,辅料
19,11,500克,主食材
19,72,两根,主食材
19,12,80克,主食材
19,1,适量,辅料
19,5,适量,辅料
20,73,适量,主食材
20,6,适量,辅料
21,74,150g,主食材
21,75,少量,辅料
21,76,一个,辅料
21,77,50毫升,辅料
21,4,适量,辅料
21,5,少量,辅料
21,7,适量,辅料
21,21,适量,辅料
22,78,适量,主食材
22,79,适量,主食材
22,2,适量,辅料
22,4,适量,辅料
22,5,适量,辅料
22,6,适量,辅料
